id,name,x,y,region
95,Banker,578,572,Yanille
95,Banker,580,574,Yanille
95,Banker,582,576,Yanille
95,Banker,583,573,Yanille
95,Banker,586,751,Yanille
95,Banker,589,753,Yanille
95,Banker,589,756,Yanille
26,Baraek,128,505,Varrock
76,Barbarian,230,509,Central Map
76,Barbarian,230,522,Central Map
76,Barbarian,233,502,Central Map
76,Barbarian,233,506,Central Map
76,Barbarian,235,499,Central Map
76,Barbarian,235,501,Central Map
76,Barbarian,236,519,Central Map
76,Barbarian,487,549,Central Map
76,Barbarian,490,547,Seers Village
76,Barbarian,491,544,Seers Village
76,Barbarian,491,550,Seers Village
76,Barbarian,491,554,Seers Village
305,Barbarian guard,494,547,Seers Village
305,Barbarian guard,495,547,Seers Village
142,Barmaid,320,1491,Southern Map
142,Barmaid,321,549,Falador
44,Bartender,83,453,Central Map
520,Bartender,94,526,Al Kharid/Desert
12,Bartender,120,521,Varrock
150,Bartender,257,626,Southern Map
279,Bartender,451,705,Brimhaven
306,Bartender,524,451,Central Map
340,Bartender,619,587,Eastern Map
529,Bartender,629,766,Southern Map
789,Battle mage,226,130,Wilderness (deep)
791,Battle mage,226,131,Wilderness (deep)
790,Battle mage,227,127,Wilderness (deep)
791,Battle mage,229,128,Wilderness (deep)
790,Battle mage,229,133,Wilderness (deep)
789,Battle mage,230,130,Wilderness (deep)
8,Bear,73,561,Central Map
49,Bear,98,1429,Al Kharid
8,Bear,117,450,Central Map
8,Bear,165,439,Wilderness (low)
8,Bear,169,653,Southern Map
8,Bear,183,653,Southern Map
188,Bear,209,364,Wilderness (low)
188,Bear,213,365,Wilderness (low)
188,Bear,224,328,Wilderness (mid)
188,Bear,229,331,Wilderness (mid)
188,Bear,238,312,Wilderness (mid)
188,Bear,289,332,Wilderness (mid)
188,Bear,291,332,Wilderness (mid)
8,Bear,303,596,Port Sarim
8,Bear,311,461,Dwarven Mine
8,Bear,311,467,Dwarven Mine
8,Bear,432,540,Catherby
188,Bear,515,567,Central Map
188,Bear,516,563,Central Map
188,Bear,517,580,Central Map
188,Bear,521,574,Central Map
188,Bear,527,573,Central Map
188,Bear,529,566,Central Map
188,Bear,530,579,Central Map
8,Bear,569,615,Southern Map
8,Bear,569,620,Southern Map
8,Bear,593,774,Yanille
8,Bear,603,779,Yanille
8,Bear,608,774,Yanille
8,Bear,650,683,Southern Map
8,Bear,685,709,Southern Map
8,Bear,696,666,Eastern Map
8,Bear,748,522,Yanille
8,Bear,765,516,Yanille
701,Bedabin Nomad,169,794,Southern Map
701,Bedabin Nomad,169,803,Southern Map
701,Bedabin Nomad,171,795,Southern Map
701,Bedabin Nomad,173,807,Southern Map
701,Bedabin Nomad,175,799,Southern Map
701,Bedabin Nomad,175,801,Southern Map
701,Bedabin Nomad,176,797,Southern Map
703,Bedabin Nomad Guard,170,794,Southern Map
149,Betty,273,632,Port Sarim
353,Big Dave,570,500,Ardougne
448,Billy Rehnison,646,566,Eastern Map
290,Black Demon,227,3231,Underground/Dungeon
290,Black Demon,229,3232,Underground/Dungeon
290,Black Demon,233,3232,Underground/Dungeon
290,Black Demon,293,3417,Underground/Dungeon
290,Black Demon,294,3417,Underground/Dungeon
290,Black Demon,295,3417,Underground/Dungeon
290,Black Demon,300,3414,Underground/Dungeon
290,Black Demon,384,3370,Underground/Dungeon
290,Black Demon,386,3364,Underground/Dungeon
290,Black Demon,389,3364,Underground/Dungeon
290,Black Demon,389,3370,Underground/Dungeon
290,Black Demon,664,3632,Underground/Dungeon
290,Black Demon,666,3633,Underground/Dungeon
291,Black Dragon,153,209,Wilderness (deep)
291,Black Dragon,250,174,Wilderness (deep)
291,Black Dragon,272,2999,Southern Map
291,Black Dragon,273,2998,Southern Map
291,Black Dragon,407,3336,Underground/Dungeon
291,Black Dragon,412,3337,Underground/Dungeon
237,Black Heather,271,300,Wilderness (mid)
189,Black Knight,58,263,Wilderness (mid)
189,Black Knight,68,262,Wilderness (mid)
66,Black Knight,85,447,Central Map
66,Black Knight,123,437,Wilderness (low)
66,Black Knight,220,652,Southern Map
189,Black Knight,252,190,Wilderness (deep)
189,Black Knight,254,184,Wilderness (deep)
189,Black Knight,255,185,Wilderness (deep)
189,Black Knight,257,187,Wilderness (deep)
189,Black Knight,258,180,Wilderness (deep)
189,Black Knight,259,181,Wilderness (deep)
189,Black Knight,265,186,Wilderness (deep)
189,Black Knight,269,186,Wilderness (deep)
66,Black Knight,272,2323,Southern Map
66,Black Knight,273,2331,Southern Map
66,Black Knight,275,438,Wilderness (low)
66,Black Knight,275,2334,Southern Map
189,Black Knight,276,187,Wilderness (deep)
66,Black Knight,276,454,Central Map
66,Black Knight,277,441,Central Map
66,Black Knight,277,448,Central Map
66,Black Knight,277,2328,Southern Map
66,Black Knight,277,2332,Southern Map
189,Black Knight,279,665,Port Sarim
108,Black Knight,281,1381,Southern Map
66,Black Knight,282,438,Wilderness (low)
66,Black Knight,283,451,Dwarven Mine
189,Black Knight,342,3354,Underground/Dungeon
189,Black Knight,343,3413,Underground/Dungeon
189,Black Knight,343,3419,Underground/Dungeon
189,Black Knight,346,3344,Underground/Dungeon
189,Black Knight,346,3426,Underground/Dungeon
189,Black Knight,346,3433,Underground/Dungeon
189,Black Knight,348,3400,Underground/Dungeon
189,Black Knight,349,3418,Underground/Dungeon
189,Black Knight,350,3426,Underground/Dungeon
189,Black Knight,351,3433,Underground/Dungeon
189,Black Knight,353,3412,Underground/Dungeon
189,Black Knight,353,3418,Underground/Dungeon
189,Black Knight,355,3340,Underground/Dungeon
189,Black Knight,356,3426,Underground/Dungeon
401,Black Knight titan,413,11,Wilderness (deep)
296,Black Unicorn,107,307,Wilderness (mid)
296,Black Unicorn,109,312,Wilderness (mid)
296,Black Unicorn,115,311,Wilderness (mid)
296,Black Unicorn,118,310,Wilderness (mid)
296,Black Unicorn,119,306,Wilderness (mid)
296,Black Unicorn,120,312,Wilderness (mid)
631,Blessed Spider,708,3438,Underground/Dungeon
631,Blessed Spider,710,3421,Underground/Dungeon
631,Blessed Spider,712,3435,Underground/Dungeon
631,Blessed Spider,713,3412,Underground/Dungeon
631,Blessed Spider,713,3438,Underground/Dungeon
631,Blessed Spider,714,3439,Underground/Dungeon
631,Blessed Spider,714,3441,Underground/Dungeon
631,Blessed Spider,715,3411,Underground/Dungeon
631,Blessed Spider,715,3413,Underground/Dungeon
631,Blessed Spider,715,3422,Underground/Dungeon
631,Blessed Spider,715,3440,Underground/Dungeon
631,Blessed Spider,715,3442,Underground/Dungeon
631,Blessed Spider,716,3411,Underground/Dungeon
631,Blessed Spider,716,3413,Underground/Dungeon
631,Blessed Spider,716,3415,Underground/Dungeon
631,Blessed Spider,716,3440,Underground/Dungeon
631,Blessed Spider,716,3441,Underground/Dungeon
631,Blessed Spider,723,585,Eastern Map
631,Blessed Spider,724,592,Eastern Map
631,Blessed Spider,725,594,Eastern Map
631,Blessed Spider,727,589,Eastern Map
631,Blessed Spider,727,591,Eastern Map
631,Blessed Spider,728,589,Eastern Map
631,Blessed Spider,731,589,Eastern Map
631,Blessed Spider,732,581,Eastern Map
631,Blessed Spider,732,584,Eastern Map
630,Blessed Vermen,729,3478,Underground/Dungeon
630,Blessed Vermen,730,3462,Underground/Dungeon
630,Blessed Vermen,731,3462,Underground/Dungeon
630,Blessed Vermen,733,3483,Underground/Dungeon
630,Blessed Vermen,735,3464,Underground/Dungeon
630,Blessed Vermen,736,3464,Underground/Dungeon
630,Blessed Vermen,737,3483,Underground/Dungeon
630,Blessed Vermen,741,3489,Underground/Dungeon
630,Blessed Vermen,742,3489,Underground/Dungeon
630,Blessed Vermen,743,3476,Underground/Dungeon
630,Blessed Vermen,743,3489,Underground/Dungeon
630,Blessed Vermen,744,3474,Underground/Dungeon
630,Blessed Vermen,744,3476,Underground/Dungeon
630,Blessed Vermen,744,3489,Underground/Dungeon
630,Blessed Vermen,745,3489,Underground/Dungeon
630,Blessed Vermen,746,3489,Underground/Dungeon
630,Blessed Vermen,747,3474,Underground/Dungeon
630,Blessed Vermen,747,3489,Underground/Dungeon
630,Blessed Vermen,748,3480,Underground/Dungeon
630,Blessed Vermen,748,3489,Underground/Dungeon
630,Blessed Vermen,749,3480,Underground/Dungeon
630,Blessed Vermen,749,3489,Underground/Dungeon
630,Blessed Vermen,750,3479,Underground/Dungeon
630,Blessed Vermen,750,3480,Underground/Dungeon
630,Blessed Vermen,751,3489,Underground/Dungeon
630,Blessed Vermen,752,3489,Underground/Dungeon
630,Blessed Vermen,753,3489,Underground/Dungeon
630,Blessed Vermen,764,3466,Underground/Dungeon
630,Blessed Vermen,764,3467,Underground/Dungeon
630,Blessed Vermen,764,3468,Underground/Dungeon
630,Blessed Vermen,764,3469,Underground/Dungeon
630,Blessed Vermen,764,3470,Underground/Dungeon
630,Blessed Vermen,765,3467,Underground/Dungeon
630,Blessed Vermen,765,3468,Underground/Dungeon
630,Blessed Vermen,765,3471,Underground/Dungeon
630,Blessed Vermen,766,3469,Underground/Dungeon
202,Blue Dragon,233,167,Wilderness (deep)
202,Blue Dragon,370,3352,Underground/Dungeon
202,Blue Dragon,370,3355,Underground/Dungeon
202,Blue Dragon,375,3272,Underground/Dungeon
202,Blue Dragon,635,3616,Underground/Dungeon
202,Blue Dragon,650,3608,Underground/Dungeon
202,Blue Dragon,659,3617,Underground/Dungeon
534,Blurberry,691,1404,Southern Map
580,Blurberry barman,690,1403,Southern Map
580,Blurberry barman,692,1404,Southern Map
1,Bob,124,669,Lumbridge
752,Bob Sinclair,485,385,Wilderness (low)
347,Bonzo,566,491,Ardougne
313,Boot the Dwarf,311,3348,Underground/Dungeon
162,Border Guard,91,649,Southern Map
161,Border Guard,92,650,Southern Map
240,Boy,357,489,Central Map
454,Bravek,646,586,Eastern Map
131,Brian,265,629,Port Sarim
590,Brimstail,739,3334,Underground/Dungeon
357,Brother Cedric,617,638,Eastern Map
176,Brother Jered,250,1410,Southern Map
366,Brother Kojo,580,637,Yanille
350,Brother Omad,580,665,Yanille
13,Camel,56,661,Al Kharid
13,Camel,57,603,Southern Map
13,Camel,58,770,Southern Map
13,Camel,62,683,Al Kharid/Desert
13,Camel,63,663,Al Kharid
13,Camel,63,740,Southern Map
13,Camel,63,786,Southern Map
13,Camel,65,801,Southern Map
13,Camel,66,651,Southern Map
13,Camel,68,645,Southern Map
13,Camel,69,640,Southern Map
13,Camel,71,647,Southern Map
13,Camel,75,661,Al Kharid
13,Camel,76,649,Southern Map
13,Camel,76,751,Southern Map
13,Camel,82,659,Southern Map
13,Camel,83,692,Al Kharid/Desert
13,Camel,93,734,Al Kharid
13,Camel,114,804,Southern Map
13,Camel,116,745,Southern Map
13,Camel,128,762,Southern Map
13,Camel,131,785,Southern Map
13,Camel,145,803,Southern Map
13,Camel,152,774,Southern Map
13,Camel,171,788,Southern Map
13,Camel,179,804,Southern Map
13,Camel,575,618,Yanille
13,Camel,580,621,Yanille
282,Candlemaker,448,492,Catherby
316,Captain Barnaby,537,615,Southern Map
18,Captain Rovin,138,1406,Southern Map
702,Captain Siad,85,1747,Al Kharid
166,Captain Tobias,270,654,Port Sarim
753,Carol Sinclair,488,1329,Southern Map
455,Caroline,521,619,Southern Map
619,Cart Driver,417,853,Karamja
618,Cart Driver,464,662,Brimhaven
101,Cassie,309,533,Falador
661,Chadwell,684,589,Eastern Map
509,Chancy,94,528,Al Kharid/Desert
505,Chancy,340,657,Rimmington
270,Chaos Druid,212,3248,Underground/Dungeon
270,Chaos Druid,213,3256,Underground/Dungeon
270,Chaos Druid,214,3244,Underground/Dungeon
270,Chaos Druid,216,3243,Underground/Dungeon
270,Chaos Druid,217,3244,Underground/Dungeon
270,Chaos Druid,218,3243,Underground/Dungeon
270,Chaos Druid,219,3244,Underground/Dungeon
270,Chaos Druid,219,3247,Underground/Dungeon
270,Chaos Druid,342,3317,Underground/Dungeon
270,Chaos Druid,342,3319,Underground/Dungeon
270,Chaos Druid,344,3318,Underground/Dungeon
270,Chaos Druid,345,3314,Underground/Dungeon
270,Chaos Druid,345,3316,Underground/Dungeon
270,Chaos Druid,580,3584,Underground/Dungeon
270,Chaos Druid,581,3555,Underground/Dungeon
270,Chaos Druid,582,3583,Underground/Dungeon
270,Chaos Druid,582,3588,Underground/Dungeon
270,Chaos Druid,583,3552,Underground/Dungeon
270,Chaos Druid,585,3555,Underground/Dungeon
270,Chaos Druid,585,3587,Underground/Dungeon
270,Chaos Druid,586,3584,Underground/Dungeon
270,Chaos Druid,616,553,Yanille
270,Chaos Druid,617,552,Yanille
270,Chaos Druid,618,552,Yanille
270,Chaos Druid,618,554,Yanille
555,Chaos Druid warrior,580,3587,Underground/Dungeon
555,Chaos Druid warrior,596,3574,Underground/Dungeon
555,Chaos Druid warrior,599,3575,Underground/Dungeon
555,Chaos Druid warrior,600,3570,Underground/Dungeon
555,Chaos Druid warrior,601,3567,Underground/Dungeon
555,Chaos Druid warrior,601,3577,Underground/Dungeon
261,Charlie the cook,453,680,Brimhaven
611,Cheerleader,735,444,Central Map
611,Cheerleader,735,445,Central Map
611,Cheerleader,736,445,Central Map
611,Cheerleader,736,455,Central Map
611,Cheerleader,736,456,Central Map
611,Cheerleader,737,443,Central Map
611,Cheerleader,738,456,Central Map
504,Chemist,344,665,Rimmington
3,Chicken,64,1639,Southern Map
3,Chicken,118,603,Southern Map
3,Chicken,118,604,Southern Map
3,Chicken,120,603,Southern Map
3,Chicken,120,604,Southern Map
3,Chicken,120,605,Southern Map
3,Chicken,121,603,Southern Map
3,Chicken,145,560,Central Map
3,Chicken,145,561,Central Map
3,Chicken,145,562,Central Map
3,Chicken,146,562,Central Map
3,Chicken,147,560,Central Map
3,Chicken,157,615,Southern Map
3,Chicken,158,616,Southern Map
3,Chicken,159,615,Southern Map
3,Chicken,160,616,Southern Map
3,Chicken,161,616,Southern Map
91,Chicken,209,2439,Southern Map
3,Chicken,217,3520,Underground/Dungeon
3,Chicken,218,755,Southern Map
3,Chicken,219,755,Southern Map
3,Chicken,219,756,Southern Map
3,Chicken,269,606,Port Sarim
3,Chicken,271,607,Port Sarim
3,Chicken,272,601,Port Sarim
3,Chicken,272,603,Port Sarim
3,Chicken,272,605,Port Sarim
3,Chicken,310,565,Rimmington
3,Chicken,405,546,Taverly
3,Chicken,405,550,Taverly
3,Chicken,406,548,Taverly
3,Chicken,407,545,Taverly
3,Chicken,407,550,Taverly
3,Chicken,410,546,Taverly
3,Chicken,412,545,Taverly
3,Chicken,435,771,Brimhaven
3,Chicken,438,764,Brimhaven
3,Chicken,450,763,Brimhaven
3,Chicken,451,768,Brimhaven
3,Chicken,490,548,Seers Village
3,Chicken,492,545,Seers Village
3,Chicken,493,405,Wilderness (low)
3,Chicken,496,403,Wilderness (low)
3,Chicken,499,406,Wilderness (low)
3,Chicken,523,617,Southern Map
3,Chicken,523,621,Southern Map
3,Chicken,525,620,Southern Map
3,Chicken,526,619,Southern Map
3,Chicken,558,492,Ardougne
3,Chicken,560,491,Ardougne
3,Chicken,560,495,Ardougne
3,Chicken,562,493,Ardougne
3,Chicken,971,173,Wilderness (deep)
3,Chicken,971,175,Wilderness (deep)
3,Chicken,972,171,Wilderness (deep)
3,Chicken,973,173,Wilderness (deep)
3,Chicken,973,175,Wilderness (deep)
315,Chronozon,232,3248,Underground/Dungeon
442,Citizen,633,584,Eastern Map
441,Citizen,633,604,Eastern Map
440,Citizen,634,599,Eastern Map
438,Citizen,640,591,Eastern Map
442,Citizen,642,590,Eastern Map
438,Citizen,648,591,Eastern Map
439,Citizen,650,592,Eastern Map
440,Citizen,651,591,Eastern Map
441,Citizen,653,593,Eastern Map
691,City Guard,634,797,Southern Map
691,City Guard,635,793,Southern Map
691,City Guard,636,793,Southern Map
452,Clerk,651,585,Eastern Map
518,Colonel Radick,644,754,Southern Map
474,Combat instructor,229,734,Southern Map
474,Combat instructor,229,736,Southern Map
474,Combat instructor,231,735,Southern Map
496,Community instructor,229,761,Southern Map
496,Community instructor,231,760,Southern Map
496,Community instructor,232,760,Southern Map
436,Councillor Halgrive,586,606,Yanille
394,Crone,411,560,Karamja
39,Curator,100,493,Al Kharid/Desert
163,Customs Officer,325,713,Southern Map
163,Customs Officer,331,713,Southern Map
317,Customs Official,467,649,Brimhaven
317,Customs Official,467,651,Brimhaven
667,Dark Mage,665,567,Eastern Map
199,Dark Warrior,249,345,Wilderness (mid)
199,Dark Warrior,254,360,Wilderness (low)
199,Dark Warrior,256,360,Wilderness (low)
199,Dark Warrior,257,345,Wilderness (mid)
199,Dark Warrior,257,346,Wilderness (mid)
199,Dark Warrior,260,359,Wilderness (low)
199,Dark Warrior,261,353,Wilderness (low)
199,Dark Warrior,263,346,Wilderness (mid)
199,Dark Warrior,265,355,Wilderness (low)
57,Darkwizard,105,549,Central Map
57,Darkwizard,105,553,Central Map
60,Darkwizard,108,557,Central Map
57,Darkwizard,109,546,Central Map
57,Darkwizard,112,557,Central Map
60,Darkwizard,113,546,Central Map
57,Darkwizard,116,550,Central Map
57,Darkwizard,117,555,Central Map
60,Darkwizard,212,2581,Southern Map
57,Darkwizard,229,642,Southern Map
57,Darkwizard,230,641,Southern Map
57,Darkwizard,310,409,Wilderness (low)
57,Darkwizard,311,408,Wilderness (low)
57,Darkwizard,311,409,Wilderness (low)
57,Darkwizard,312,409,Wilderness (low)
60,Darkwizard,312,414,Wilderness (low)
57,Darkwizard,314,414,Wilderness (low)
60,Darkwizard,315,416,Wilderness (low)
57,Darkwizard,316,412,Wilderness (low)
60,Darkwizard,360,572,Karamja
57,Darkwizard,360,2457,Karamja
57,Darkwizard,360,2460,Karamja
60,Darkwizard,361,570,Karamja
57,Darkwizard,361,2459,Karamja
57,Darkwizard,362,571,Karamja
60,Darkwizard,362,1514,Karamja
57,Darkwizard,362,1517,Karamja
60,Darkwizard,362,2458,Karamja
60,Darkwizard,363,571,Karamja
754,David Sinclair,485,403,Wilderness (low)
278,Davon,444,706,Brimhaven
511,DeVinci,92,528,Al Kharid/Desert
507,DeVinci,346,658,Rimmington
99,Deadly Red spider,146,3293,Underground/Dungeon
99,Deadly Red spider,148,3295,Underground/Dungeon
99,Deadly Red spider,150,255,Wilderness (mid)
99,Deadly Red spider,152,3297,Underground/Dungeon
99,Deadly Red spider,154,262,Wilderness (mid)
99,Deadly Red spider,154,3292,Underground/Dungeon
99,Deadly Red spider,157,250,Wilderness (mid)
99,Deadly Red spider,157,3299,Underground/Dungeon
99,Deadly Red spider,161,3297,Underground/Dungeon
99,Deadly Red spider,162,250,Wilderness (mid)
99,Deadly Red spider,165,256,Wilderness (mid)
99,Deadly Red spider,166,262,Wilderness (mid)
99,Deadly Red spider,167,254,Wilderness (mid)
99,Deadly Red spider,167,255,Wilderness (mid)
99,Deadly Red spider,174,248,Wilderness (deep)
99,Deadly Red spider,202,3238,Underground/Dungeon
99,Deadly Red spider,204,3234,Underground/Dungeon
99,Deadly Red spider,204,3237,Underground/Dungeon
99,Deadly Red spider,205,3238,Underground/Dungeon
99,Deadly Red spider,206,3239,Underground/Dungeon
99,Deadly Red spider,207,3236,Underground/Dungeon
99,Deadly Red spider,253,156,Wilderness (deep)
99,Deadly Red spider,256,152,Wilderness (deep)
99,Deadly Red spider,259,159,Wilderness (deep)
99,Deadly Red spider,260,154,Wilderness (deep)
99,Deadly Red spider,404,3521,Underground/Dungeon
99,Deadly Red spider,405,3520,Underground/Dungeon
99,Deadly Red spider,406,3521,Underground/Dungeon
99,Deadly Red spider,407,3525,Underground/Dungeon
99,Deadly Red spider,408,3522,Underground/Dungeon
99,Deadly Red spider,578,3460,Underground/Dungeon
768,Death Wing,439,3721,Underground/Dungeon
768,Death Wing,439,3728,Underground/Dungeon
768,Death Wing,441,3719,Underground/Dungeon
768,Death Wing,444,3725,Underground/Dungeon
768,Death Wing,444,3727,Underground/Dungeon
768,Death Wing,444,3731,Underground/Dungeon
768,Death Wing,444,3733,Underground/Dungeon
768,Death Wing,451,3738,Underground/Dungeon
35,Delrith,111,550,Central Map
721,Desert Wolf,54,753,Southern Map
721,Desert Wolf,70,764,Southern Map
721,Desert Wolf,87,765,Al Kharid
721,Desert Wolf,102,800,Al Kharid
721,Desert Wolf,112,763,Southern Map
721,Desert Wolf,125,801,Southern Map
721,Desert Wolf,135,774,Southern Map
721,Desert Wolf,157,785,Southern Map
721,Desert Wolf,158,801,Southern Map
721,Desert Wolf,180,808,Southern Map
309,Dimintheis,84,523,Al Kharid/Desert
390,Docky,540,703,Southern Map
435,Doctor orbon,578,591,Yanille
173,Dommik,51,675,Al Kharid
236,Donny the lad,268,309,Wilderness (mid)
741,Donovan the Handyman,487,1336,Southern Map
646,Doomion,807,3542,Underground/Dungeon
221,Doorman,113,3537,Underground/Dungeon
221,Doorman,117,3537,Underground/Dungeon
221,Doorman,117,3541,Underground/Dungeon
221,Doorman,118,3537,Underground/Dungeon
144,Doric,325,490,Falador
98,Dr Harlow,83,444,Central Map
196,Dragon,418,3479,Underground/Dungeon
113,Drogo,268,3329,Underground/Dungeon
200,Druid,359,463,Central Map
200,Druid,360,500,Central Map
200,Druid,361,460,Central Map
200,Druid,363,465,Central Map
200,Druid,365,460,Central Map
200,Druid,366,462,Central Map
200,Druid,369,494,Central Map
200,Druid,369,497,Central Map
200,Druid,370,493,Taverly
200,Druid,374,481,Taverly
200,Druid,374,493,Taverly
200,Druid,375,495,Taverly
200,Druid,379,494,Taverly
198,Duke of Lumbridge,130,1601,Southern Map
198,Duke of Lumbridge,320,1490,Southern Map
367,Dungeon Rat,583,3475,Underground/Dungeon
367,Dungeon Rat,583,3476,Underground/Dungeon
367,Dungeon Rat,584,3473,Underground/Dungeon
367,Dungeon Rat,584,3475,Underground/Dungeon
367,Dungeon Rat,584,3476,Underground/Dungeon
367,Dungeon Rat,585,3474,Underground/Dungeon
367,Dungeon Rat,587,3475,Underground/Dungeon
367,Dungeon Rat,588,3474,Underground/Dungeon
367,Dungeon Rat,589,3477,Underground/Dungeon
367,Dungeon Rat,594,3476,Underground/Dungeon
367,Dungeon Rat,694,3549,Underground/Dungeon
367,Dungeon Rat,712,3513,Underground/Dungeon
367,Dungeon Rat,712,3548,Underground/Dungeon
367,Dungeon Rat,715,3506,Underground/Dungeon
94,Dwarf,262,3344,Underground/Dungeon
94,Dwarf,264,3340,Underground/Dungeon
94,Dwarf,264,3349,Underground/Dungeon
94,Dwarf,267,501,Central Map
699,Dwarf,268,486,Central Map
94,Dwarf,268,3344,Underground/Dungeon
94,Dwarf,269,496,Central Map
699,Dwarf,270,485,Central Map
699,Dwarf,272,494,Central Map
699,Dwarf,275,489,Central Map
94,Dwarf,276,3329,Underground/Dungeon
94,Dwarf,279,3330,Underground/Dungeon
94,Dwarf,279,3336,Underground/Dungeon
94,Dwarf,280,492,Falador
94,Dwarf,282,3349,Underground/Dungeon
94,Dwarf,284,3348,Underground/Dungeon
94,Dwarf,286,3347,Underground/Dungeon
94,Dwarf,287,3349,Underground/Dungeon
94,Dwarf,288,3345,Underground/Dungeon
94,Dwarf,289,3347,Underground/Dungeon
94,Dwarf,290,3344,Underground/Dungeon
94,Dwarf,293,3348,Underground/Dungeon
94,Dwarf,360,3422,Underground/Dungeon
94,Dwarf,361,3424,Underground/Dungeon
94,Dwarf,603,780,Yanille
94,Dwarf,612,478,Yanille
94,Dwarf,613,478,Yanille
94,Dwarf,620,776,Southern Map
770,Dwarf Cannon engineer,275,493,Central Map
771,Dwarf commander,605,467,Central Map
143,Dwarven shopkeeper,294,3339,Underground/Dungeon
584,Earth warrior,205,3208,Underground/Dungeon
584,Earth warrior,206,3212,Underground/Dungeon
